Año	Población	Comarca código	Comarca nombre
2016	6975,0	14	Aranda
2016	26922,0	15	Ribera Alta del Ebro
2016	28489,0	16	Valdejalón
2016	739788,0	17	D.C. Zaragoza
2016	8760,0	18	Ribera Baja del Ebro
2016	14521,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2016	38228,0	20	Comunidad de Calatayud
2016	10164,0	21	Campo de Cariñena
2016	4775,0	22	Campo de Belchite
2016	6524,0	23	Bajo Martín
2016	5775,0	24	Campo de Daroca
2016	12705,0	25	Jiloca
2016	8400,0	26	Cuencas Mineras
2016	10458,0	27	Andorra-Sierra de Arcos
2016	29042,0	28	Bajo Aragón
2016	46144,0	29	Comunidad de Teruel
2016	3262,0	30	Maestrazgo
2016	4560,0	31	Sierra de Albarracín
2016	7605,0	32	Gúdar-Javalambre
2016	8277,0	33	Matarraña / Matarranya
2019	17704,0	01	La Jacetania
2019	13462,0	02	Alto Gállego
2019	7441,0	03	Sobrarbe
2019	12015,0	04	La Ribagorza
2019	30622,0	05	Cinco Villas
2019	68076,0	06	Hoya de Huesca / Plana de Uesca
2019	23648,0	07	Somontano de Barbastro
2019	23829,0	08	Cinca Medio
2019	18293,0	09	La Litera / La Llitera
2019	18447,0	10	Los Monegros
2019	24589,0	11	Bajo Cinca / Baix Cinca
